event_label,users,total_events,unique_events
2004 to 2017,7,8,7
1800 to 2017,7,9,8
doi:10.18739/A2WS05,7,11,8
degrandpre,7,11,8
Global Carbon Dioxide Emissions,7,7,7
2000 to 2017,7,8,7
china,7,8,8
"Summit, Greenland",7,10,10
temperatur,7,7,7
seismic,7,10,8
loranty,7,13,10
zooplankton,7,9,7
perovich,7,11,11
cortes,7,70,55
amundson,7,41,33
davis strait,7,10,8
Antarctica,7,11,8
cement,7,7,7
sumup,7,11,10
Global Carbon Project,7,7,7
T. A. Boden,7,8,7
ameriflux,7,9,8
1999 to 2017,7,7,7
species,7,9,7
Romanovsky,7,10,9
social,7,13,11
netcdf,7,16,15
post,6,12,10
ADCP,6,8,7
density,6,8,7
Grebmeier,6,12,10
2010 to 2016,6,8,6
icecaps,6,6,6
1993 to 2017,6,6,6
1304905,6,6,6
Temperature,6,6,6
soil carbon,6,8,7
timling,6,23,17
Carbon Dioxide Emissions,6,6,6
tweedie,6,9,7
heather alexander,6,13,8
2015 to 2018,6,10,8
grieman,6,13,10
indigenous,6,8,8
Sarah Ludwig,6,6,6
doi:10.18739/A26R0M,6,7,7
sumo,6,6,6
chlorophyll,6,9,8
neilson,6,8,7
climate,6,6,6
young,6,15,14
doi:10.18739/A2ZX05,6,18,14
Ice thickness,6,8,8
fossil fuel,6,6,6
welker,6,9,8
water,6,8,7
harper,6,9,8
alexander,6,7,7
phytoplankton,6,6,6
lake peters,6,6,6
2006 to 2017,6,7,6
2003 to 2017,6,7,6
engram,6,7,6
2016,5,5,5
doi:10.5065/D6P26W70,5,6,6
1304899,5,8,8
Oberbauer,5,5,5
NGEE,5,9,8
Patrick Sullivan,5,5,5
toole,5,9,9
hollister,5,8,6
chinare,5,6,6
zona,5,8,8
russia,5,5,5
2015 to 2016,5,12,8
bear,5,5,5
Vladimir Romanovsky,5,6,6
air temperature,5,5,5
doi:10.18739/A20F8P,5,5,5
lake,5,7,6
2008 to 2018,5,6,5
pickart,5,8,6
CALON,5,7,7
oxygen,5,7,6
hatfield,5,7,7
mooring,5,5,5
keeling,5,7,6
river,5,5,5
nitrogen,5,12,7
2012 to 2018,5,6,5
helmig,5,6,5
DOC,5,5,5
ngee,5,10,8
beaufort,5,6,5
2013 to 2015,5,7,6
black carbon,5,5,5
Ship,5,5,5
doi:10.18739/A23K4G,5,6,6
2011 to 2018,5,6,5
global co2 emissions,5,5,5
mammals,5,5,5
China,5,7,6
Kathleen M Stafford,5,15,7
nitrate,5,6,5
1997 to 2017,5,6,5
beluga,5,7,6
atqasuk,5,6,6
nagap,5,21,17
Cable,5,8,7
anna,5,22,8
ghg,5,5,5
land use,5,9,8
greenhouse gas emissions,5,6,5
vladimir,5,16,14
accumulation,5,6,5
meierbachtol,5,27,20
2003 to 2016,5,6,6
DeGrandpre,5,19,15
itex,5,6,5
spruce,5,6,6
energy,5,8,6
moisture,5,8,7
CO2 flux,5,7,6
Hollister,5,7,7
agage,5,13,9
doi:10.18739/A22V25,5,5,5
ctd,5,6,5
algae,5,5,5
sediment,5,11,10
1800 to 2016,5,5,5
oil,5,5,5
salmon,5,5,5
2007 to 2018,5,5,5
1995 to 2017,4,4,4
NAGAP,4,7,7
2007 to 2016,4,4,4
mack,4,5,5
LeConte,4,4,4
doi:10.18739/A2CR52,4,5,4
friedman,4,4,4
doi:10.18739/A2763J,4,15,13
toolik,4,8,6
marine mammal,4,4,4
pingo,4,7,5
siberia,4,5,4
fish,4,6,5
radiation,4,5,5
polar bears,4,4,4
2003C,4,9,8
marland,4,4,4
taku,4,5,5
shapefile,4,5,5
doi:10.5065/D64J0C7C,4,5,5
2001A,4,10,7
cable,4,35,24
discharge,4,4,4
canada,4,7,5
2009 to 2018,4,5,4
2011 to 2016,4,4,4
doi:10.18739/A27N5S,4,4,4
test,4,5,5
Ashjian,4,5,5
penguin,4,5,4
reindeer,4,4,4
whale,4,6,5
fisheries,4,5,4
United States,4,4,4
population,4,4,4
human,4,4,4
methane flux,4,5,4
cumulative,4,5,4
10.18739/A20G68,4,16,13
1851 to 2016,4,4,4
fire,4,4,4
1630360,4,7,5
Arctic,4,4,4
SHEBA,4,6,5
colorado,4,4,4
world,4,5,4
doi:10.18739/A2BW6H,4,9,5
collaborative,4,7,4
Sue E. Moore,4,11,10
CH4,4,5,5
2000 to 2016,4,4,4
2017,4,5,4
barrow,4,5,5
greenhouse gas,4,5,4
1998 to 2018,4,6,5
India,4,5,5
Heather D. Alexander,4,6,4
urn:uuid:22cf9a09-ffe8-4239-b83a-af1591cf0eb4,4,5,5
Steven F. Oberbauer,4,6,6
2017 to 2019,4,4,4
npp,4,4,4
tank,4,6,6
Frey,4,5,5
2008 to 2016,4,6,5
mankoff,4,11,7
parno,4,10,7
stream,4,5,4
urn:uuid:08a91469-e207-4805-86da-e698edddfba9,4,4,4
carbon dioxide emissions,4,4,4
doi:10.18739/A2FW52,4,8,7
doi:10.18739/A2FH24,4,5,5
simpson,4,4,4
global carbon emissions,4,4,4
mcconnell,4,5,5
calanus,4,5,5
productivity,4,4,4
cage,4,4,4
greenhouse,4,4,4
Vostok,4,6,5
Canada,4,4,4
kropp,4,4,4
ARCTIC OCEAN,4,5,4
virkkala,4,10,10
1561437,4,9,8
CALM,4,4,4
aves,4,6,4
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/614/4,4,9,7
soil moisture,4,5,5
10.18739/A2CZ6H,4,7,7
doi:10.18739/A2503V,4,10,8
2004 to 2018,4,4,4
1023574,4,9,7
isotope,4,4,4
thermokarst,4,4,4
doi:10.18739/A2733H,4,7,6
2001 to 2017,4,4,4
svalbard,4,4,4
health,4,4,4
Shupe,4,4,4
bird,4,5,5
soil bulk density,4,6,4
doi:10.5065/D61Z42KV,4,5,5
1994 to 2017,4,4,4
1990 to 2017,4,4,4
doi:10.18739/A2J954,4,4,4
Russia,4,6,6
10.3334/CDIAC/00001_V2017,4,5,5
indonesia,4,5,5
DIC,4,4,4
Donald Perovich,4,4,4
doi:10.18739/A21C55,4,4,4
2010 to 2010,4,7,5
doi:10.18739/A22Z8G,4,8,6
schuur,4,8,7
2003 to 2018,4,4,4
davis,4,4,4
sowers,4,4,4
doi:10.5065/D61J97X5,4,6,5
may,4,4,4
jeremy may,4,36,28
10.18739/A2WD3H,4,11,8
cloud,4,5,5
1841 to 2018,4,8,6
1504345,4,6,6
2002 to 2017,4,4,4
Mackenzie Grieman,4,6,4
Heather Alexander,4,11,9
Svalbard,4,4,4
sizonet,4,4,4
csv,4,6,5
1304270,4,4,4
length,4,4,4
Boden,4,4,4
carbon emissions,4,4,4
urn:uuid:a8f60e5b-10b6-46f2-b5dc-02730a513e09,4,5,5
nee,4,6,5
vandecrux,4,5,5
healy,4,5,4
doi:10.18739/A2HP13,4,5,4
Stanley,4,9,5
biodiversity,4,4,4
doi:10.18739/A2408F,4,7,6
natali,4,6,6
Amon,4,4,4
netCDF,4,5,4
2013 to 2013,4,5,5
polar bear,4,9,6
thaw,4,4,4
weather,4,6,5
active layer,4,4,4
ushcn,4,4,4
1850 to 2016,4,4,4
Carbon,4,4,4
image,4,6,5
osterberg,4,5,4
ITP,4,7,5
2013A,3,3,3
Lake Peters,3,5,4
jenna,3,3,3
2014 to 2016,3,5,4
Mauna Loa,3,4,4
multibeam,3,3,3
doi:10.18739/A2HC5H,3,4,4
yongsong,3,12,12
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/613/4,3,4,3
pettersen,3,15,15
2018 to 2017,3,4,3
ch4 flux,3,5,5
transport,3,3,3
climate change,3,3,3
Tropical Africa,3,3,3
Adam Young,3,3,3
beard,3,3,3
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/495/14,3,4,3
CO,3,5,4
obuoy,3,3,3
benthic macroinfauna,3,3,3
itp,3,3,3
Ricketts,3,13,10
Keeling,3,3,3
10.18739/A2FW52,3,6,6
2001 to 2018,3,3,3
doi:10.18739/A2TR4Q,3,3,3
O-Buoy,3,4,4
network of permafrost observatories,3,4,3
aerosol,3,3,3
sst,3,3,3
Summit,3,4,4
2012 to 2016,3,3,3
mclaren,3,3,3
miege,3,4,3
Toole,3,4,4
france,3,3,3
abundance,3,5,4
mauna loa,3,5,5
radar,3,3,3
vostok ice core,3,3,3
cumulative emissions,3,3,3
npeo,3,3,3
Laurier,3,3,3
mammalia,3,3,3
NPEO,3,3,3
doi:10.18739/A22W48,3,8,8
UpTempO,3,7,5
wind speed,3,3,3
Stroeve,3,3,3
1203944,3,3,3
Jackie Grebmeier,3,6,4
1842 to 2017,3,3,3
NDP001,3,10,9
Greenhouse gas emissions,3,3,3
steves,3,6,5
co,3,5,4
2007E,3,6,4
2003A,3,7,5
doi:10.18739/A2PW57,3,4,4
MISP,3,3,3
2012 to 2015,3,3,3
rain,3,3,3
Bevis,3,5,5
Karen Junge,3,3,3
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/573/7,3,4,4
1545558,3,6,5
2012 to 2013,3,3,3
World,3,3,3
NPP,3,5,3
doi:10.18739/A2GW0G,3,5,5
Young,3,3,3
doi:10.18739/A28S5G,3,5,4
1991 to 2017,3,4,4
Taku Glacier,3,4,4
archaeology,3,4,3
hewitt,3,3,3
Carey Friedman,3,6,5
matt nolan,3,11,11
Lee W. Cooper,3,14,13
fossil,3,6,5
Barrow,3,3,3
respiration,3,5,3
doi:10.18739/A2CD5M,3,4,4
collaborative research,3,5,5
excel,3,4,4
krause,3,5,5
matlab,3,5,4
phosphate,3,3,3
virginia,3,3,3
doi:10.5065/D6B85696,3,7,6
holmes,3,6,6
1203418,3,3,3
beaufort sea,3,3,3
doi:10.18739/A2B69R,3,4,4
Grieman,3,3,3
1950 to 2017,3,6,5
keigwin,3,6,6
subsistence,3,4,4
ecosystem respiration,3,7,5
Stafford,3,6,4
doi:10.5065/D6VX0DPX,3,5,4
NEP,3,3,3
ice tethered profiler,3,3,3
1977 to 2017,3,3,3
bob,3,3,3
petrov,3,10,10
doi:10.5065/D67942T9,3,4,4
1992 to 2017,3,3,3
2019 to 2017,3,3,3
Truffer,3,3,3
sea level rise,3,5,3
Europe,3,3,3
NEE,3,3,3
polaris project,3,3,3
doi:10.3334/CDIAC/CLI.NDP019,3,4,3
ARCSS,3,5,5
2002 to 2016,3,4,3
335941,3,5,4
martin,3,6,6
craig lee,3,4,4
invasive,3,3,3
david fortin,3,7,4
economic,3,3,3
germany,3,3,3
Proshutinsky,3,4,4
copepod,3,4,4
atmospheric,3,5,5
2009 to 2016,3,4,4
africa,3,3,3
brazil,3,4,4
Craig E. Tweedie,3,3,3
doi:10.18739/A24N80,3,5,5
gas flux,3,6,6
SUMup,3,3,3
2009 to 2015,3,3,3
sea ice thickness,3,5,4
Kropp,3,3,3
Alkire,3,4,4
iceland,3,4,4
pacmars,3,5,5
doi:10.18739/A2HG45,3,5,5
urn:uuid:dab72bc5-7f7a-4aa3-98e4-0eeb17ccca94,3,4,4
bacteria,3,4,4
bhatt,3,3,3
2010 to 2014,3,5,3
cai,3,8,6
Natali,3,3,3
doi:10.18739/A2R560,3,8,7
doi:10.18739/A2X29N,3,10,7
d13C,3,4,3
doi:10.18739/A2868R,3,4,3
anastasio,3,4,3
Gridded fossil-fuel carbon emissions,3,3,3
taku glacier,3,4,4
eicken,3,3,3
2005 to 2015,3,3,3
1503928,3,5,4
2005 to 2016,3,4,3
heat,3,3,3
Chris Larsen,3,3,3
ARCTIC OCEAN > CHUKCHI SEA,3,9,3
plant,3,4,4
phenology,3,4,4
kite,3,6,6
stabeno,3,4,3
berdy,3,5,5
Marco Tedesco,3,3,3
polyakov,3,5,5
mercury,3,3,3
1303895,3,3,3
albedo,3,5,3
doi:10.18739/A2M58H,3,3,3
bahr,3,3,3
doi:10.5065/D6MS3QVG,3,3,3
doi:10.18739/A21G6K,3,7,6
CTD ocean cast,3,3,3
arctic temperature,3,3,3
Michael DeGrandpre,3,3,3
Timothy Griffis,3,3,3
chukchi,3,3,3
Joseph R. McConnell,3,6,4
doi:10.18739/A22T1F,3,5,3
rainfall,3,3,3
c,3,3,3
1998 to 2016,3,3,3
doi:10.18739/A2357G,3,4,4
14c,3,4,3
sea surface temperature,3,4,3
1997 to 2018,3,3,3
doi:10.18739/A2786C,3,7,5
Heather D Alexander,3,6,4
depth,3,3,3
Gridded fossil fuel carbon emissions,3,4,3
urn:uuid:ffd4fb38-deb3- 4d62-9e9e-ae84bc69abbb,3,3,3
Liljedahl,3,4,3
Fettweis,3,3,3
global carbon,3,3,3
alkire,3,3,3
sullivan,3,3,3
Robert Pickart,3,3,3
Gamm,3,4,4
benthic,3,4,3
woodgate,3,5,4
Virkkala,3,6,6
Tedesco,3,6,5
SWL,3,3,3
workshop,3,3,3
net primary production,3,3,3
2009 to 2014,3,3,3
McConnell,3,3,3
pressure,3,3,3
hanson,3,4,4
doi:10.18739/A2469W,3,8,7
coopman,3,11,11
2020 to 2018,3,16,4
website,3,18,15
surface,3,3,3
net primary productivity,3,4,3
doi:10.18739/A2F867,3,5,5
liljedahl,3,9,8
to 2018,3,5,4
adcp,3,6,5
1854 to 2016,3,3,3
doi:10.18739/A2N562,3,4,4
10.3334/CDIAC/CLI.NDP019,3,7,6
2014 to 2014,3,3,3
2013 to 2016,3,10,5
das,3,3,3
doi:10.18739/A2RG3Z,3,3,3
1856 to 2016,3,12,6
acoustic,3,4,3
13C,3,3,3
Chukchi Sea,3,3,3
pco2,3,3,3
koenig,3,4,4
holland,3,6,5
Mayer,3,3,3
ndp001,3,5,5
oil and gas,3,4,3
campbell,3,5,4
Sue Moore,3,4,4
2013,3,5,4
dijken,3,16,7
urn:uuid:19fef645-be5d-42ef-b050-4ec8c2fdf034,3,3,3
1203451,3,5,4
hawley,3,3,3
doi:10.18739/A2JZ96,3,3,3
1204082,3,5,4
distribution,3,4,3
2007,2,2,2
ndp.0001,2,2,2
Adam M. Young,2,6,4
michael loranty,2,2,2
2019 to 2018,2,2,2
migration,2,2,2
1304563,2,2,2
nicewonger,2,2,2
10.18739/A2763J,2,17,13
Australia,2,2,2
Anna K. Liljedahl,2,4,4
Nitrogen,2,2,2
christopher arp,2,4,4
Global Carbon Project: the Global Carbon Budget,2,2,2
2012H,2,4,3
jarvis,2,2,2
Hagedorn,2,3,2
GRIP,2,2,2
carbon budget,2,2,2
CATS,2,2,2
walden,2,2,2
narwhals,2,2,2
chamber flux,2,3,3
2012I,2,5,3
esau,2,2,2
radiocarbon,2,2,2
Lora Koenig,2,2,2
susan kaplan,2,2,2
vermunt,2,2,2
savoonga,2,2,2
Kling,2,3,3
Walter C. Oechel,2,4,2
"Delta14 CO2 Atmospheric Record from Schauinsland, Germany",2,3,2
jason amundson,2,2,2
2014,2,2,2
vegetation community,2,2,2
bering strait,2,2,2
IN SITU/LABORATORY INSTRUMENTS > CHEMICAL METERS/ANALYZERS > CO2 ANALYZERS,2,3,2
EcoFOCI,2,4,4
1978 to 2016,2,2,2
darrell kaufman,2,2,2
Frank Bahr,2,2,2
smith,2,2,2
1107481,2,2,2
Global CO2 Emissions,2,2,2
1624927,2,3,2
gpp,2,3,2
sanna,2,5,4
atwain,2,2,2
doi:10.18739/A20N7C,2,3,2
sea ice extent,2,2,2
2004 to 2007,2,2,2
bromine,2,2,2
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/575/7,2,2,2
2018 to 2016,2,2,2
2006E,2,3,3
monthly,2,2,2
Colin Edgar,2,2,2
country,2,2,2
boreal,2,2,2
river ice,2,6,6
2002 to 2018,2,2,2
xlsx,2,3,2
barents sea,2,3,3
2003 to 2010,2,2,2
2007B,2,3,3
1976 to 2016,2,2,2
kaplan,2,5,4
energy consumption,2,2,2
california,2,2,2
ukraine,2,3,3
Carbon Sequestration,2,2,2
10.3334/CDIAC/FACE-MDS/MET.01,2,2,2
plutonium,2,2,2
Snow Depth,2,3,3
1909 to 2018,2,2,2
1203857,2,2,2
Engram,2,4,4
map,2,2,2
10.3334/CDIAC/FFE.MONTHLYISOMASS.2016,2,4,3
1950 to 2016,2,2,2
saltzman,2,2,2
Amundson,2,2,2
beringer,2,2,2
harvest,2,4,2
norway,2,2,2
Fire,2,2,2
schimel welker,2,2,2
1800 to 2003,2,4,3
1643187,2,2,2
2006C,2,3,3
2005E,2,2,2
seal,2,2,2
water temperature,2,2,2
sonar,2,3,2
peatland,2,7,3
rock glacier,2,4,3
.zip,2,2,2
Global Carbon,2,2,2
robert spencer,2,2,2
calon,2,2,2
junge,2,2,2
Northern Hemisphere,2,2,2
2012E,2,4,3
2000A,2,9,8
2011,2,5,4
thaw depth,2,3,2
o2,2,3,2
c02,2,2,2
SWL14,2,3,2
2011 to 2014,2,5,2
ppm,2,2,2
concentration,2,2,2
√,2,2,2
VOC,2,5,4
2009 to 2012,2,2,2
2015D,2,3,2
AmeriFlux,2,3,3
AUTOMATIC REMOTE WEATHER STATION,2,2,2
"Production of CO2 from Fossil Fuel Burning by Fuel Type, 1860-1982",2,2,2
APP,2,2,2
global co2,2,2,2
Marine Mammal sighting data from cruises in the Pacific Arctic,2,3,2
10.18739/A2191Z,2,6,2
10.18739/A26P8Z,2,7,3
CSIRO,2,9,5
CHINARE,2,5,5
lloyd,2,2,2
human dimensions,2,4,2
2013C,2,3,3
Hewitt,2,2,2
carothers,2,3,2
Cropland,2,3,3
2008 to 2009,2,2,2
climate model,2,2,2
doi:10.18739/A22S2G,2,2,2
bartholomaus,2,3,2
sayres,2,2,2
NGRIP,2,5,3
cape grim,2,2,2
bevis,2,3,3
1989 to 2017,2,2,2
Post,2,6,6
2012 to 2014,2,4,2
10.18739/A2786C,2,2,2
Davis Strait,2,3,2
doi:10.5065/D65X273S,2,3,3
2006 to 2016,2,2,2
le,2,2,2
price,2,2,2
hydrocarbon,2,2,2
mcrave,2,2,2
Robert Hollister,2,3,2
Nolan,2,2,2
Anna Liljedahl,2,2,2
1417789,2,2,2
Triple Oxygen Isotopes in the Beaufort Gyre,2,2,2
microbiome,2,2,2
POSS,2,4,4
dissolved inorganic carbon,2,2,2
doi:10.18739/A28J6F,2,2,2
Simpson,2,4,4
2005D,2,2,2
shaver,2,2,2
acadis,2,2,2
10.3334/CDIAC/FFE.MONTHLYMASS.2016,2,2,2
Matthew Shupe,2,2,2
doi:10.18739/A2PZ7P,2,3,3
david holland,2,3,2
1838 to 2017,2,2,2
EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > SURFACE WATER > DISCHARGE/FLOW,2,2,2
neon,2,3,3
doi:10.18739/A2RS0X,2,2,2
Distributed Biological Observatory,2,4,2
urn:uuid:4fb67d3a-0c98-48d5-b851-dc49a21f263f,2,7,4
obrist,2,4,3
catlin,2,3,2
urn:uuid:d6be9a14-3d39-4848-b7e3-4a79c740e2b5,2,3,2
banks island,2,2,2
aurora,2,2,2
Pacific Ocean,2,2,2
ashjian,2,2,2
Arctic GRO,2,2,2
2002 to 2002,2,4,3
obbard,2,2,2
GPP,2,2,2
karen beard,2,2,2
BROMEX,2,2,2
2014G,2,2,2
surface temperature,2,2,2
melt,2,2,2
1851 to 2017,2,2,2
truffer,2,2,2
urn:uuid:d26999c1-e54e-41c0-b17b-486af4874ea9,2,4,3
composition,2,2,2
hunting,2,3,2
9814984,2,3,3
1303644,2,3,2
doi:10.18739/A20298,2,2,2
10.18739/A2X29N,2,3,2
karen h beard,2,3,2
development,2,2,2
seals,2,2,2
Brie Van Dam,2,2,2
rose,2,3,3
10.3334/CDIAC/atg.016,2,9,3
doi:10.18739/A2QC40,2,2,2
10.3334/CDIAC/GCP_2015,2,3,2
2012L,2,6,3
tropics,2,3,3
909388,2,2,2
2000B,2,7,5
Walter,2,2,2
Shreyas Cholia,2,2,2
kate stafford,2,2,2
doi:10.18739/A2WD3H,2,5,4
https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/568/7,2,2,2
eddy,2,2,2
urn:uuid:8400608d-cecd-4b48-a446-4dacf4b43435,2,2,2
2003 to 2004,2,2,2
2013I,2,3,2
1801 to 2018,2,2,2
epstein,2,4,4
2015J,2,3,2
golden,2,2,2
frost,2,5,4
adam m young,2,6,6
walter,2,2,2
NOAA,2,2,2
citation,2,3,2
urn:uuid:6ea72159-ac92-4f5c-b4f2-b733de732b8c,2,5,5
trusel,2,3,3
rachel stanley,2,3,3
HCN,2,3,3
9214927,2,2,2
ak,2,3,3
doi:10.3334/CDIAC/FACE-MDS/MET.01,2,2,2
doi:10.18739/A20K2S,2,3,3
AGAGe,2,2,2
claire simpson,2,3,3
geothermal,2,2,2
Ice Thickness,2,2,2
aerial,2,2,2
pettit,2,3,3
ch4,2,2,2
urn:uuid:6ed8a311-6aaf-4944-90c7-104337ee77e3,2,4,4
Annual Atmospheric CO2,2,2,2
brooks range,2,2,2
litter,2,3,3
2014I,2,2,2
bangladesh,2,2,2
1303617,2,4,3
transdrift,2,2,2
water consumption,2,2,2
1943 to 2017,2,2,2
Sullivan,2,2,2
craig,2,2,2
doi:10.18739/A2027H,2,2,2
Happy Valley,2,2,2
temperatures,2,2,2
inuit,2,3,2
doi:10.18739/A2556Q,2,2,2
10.18739/A21C55,2,2,2
1962 to 2017,2,2,2
2010,2,2,2
Shishmaref,2,3,3
2021 to 2018,2,2,2
NORTH AMERICA > GREENLAND,2,2,2
maritime,2,2,2
2015,2,2,2
dem,2,3,2
10.3334/CDIAC/ATG.012,2,3,2
1850 to 2015,2,2,2
ouyang,2,2,2
2013H,2,2,2
2015C,2,2,2
2014C,2,2,2
2014F,2,3,3
2012B,2,2,2
Rachel Stanley,2,2,2
co2 flux data,2,3,3
NABOS,2,4,3
Chukchi,2,2,2
2003B,2,3,3
1913 to 2018,2,2,2
lagoon,2,2,2
2004A,2,4,4
Ice core,2,2,2
spatial,2,2,2
temp,2,2,2
atg.012,2,6,5
pasta,2,2,2
holte,2,5,5
meter,2,2,2
antarctica,2,2,2
time series,2,2,2
1801 to 2017,2,3,3
2014E,2,2,2
Shepson,2,2,2
2004D,2,3,3
latitude,2,2,2
school,2,2,2
2011 to 2011,2,2,2
2013 to 2014,2,6,3
Tom Boden,2,2,2
IABP,2,3,2
2006B,2,3,3
2004B,2,3,3
2004C,2,3,3
emissions by country,2,2,2
1852 to 2017,2,2,2
arctic-data.14489.1,2,6,5
USGS,2,4,3
spall,2,2,2
1142517,2,4,2
Walker,2,2,2
doi:10.18739/A2C29P,2,2,2
"Geochemical and stable isotope composition data from precipitations, runoff, snow and ice collected in Lake Peters Watershed",2,2,2
uptempo,2,3,3
1603548,2,2,2
doi:10.18739/A28Q2N,2,2,2
dimensionless,2,2,2
global carbon budget,2,2,2
sami,2,3,2
peterson,2,2,2
ENSO,2,2,2
2006D,2,4,3
nolan,2,4,4
austin,2,2,2
meteorology,2,3,3
Weather,2,3,2
2012C,2,2,2
1950 to 2015,2,2,2
2003 to 2007,2,2,2
1973 to 2017,2,2,2
montgomery,2,2,2
doi:10.5065/D6MW2F2H,2,4,3
wood,2,2,2
nutrients,2,2,2
2000 to present,2,4,3
Adam young,2,2,2
wetland,2,3,2
thule,2,4,3
Hajo Eicken,2,2,2
Birgit Hagedorn,2,2,2
Oluwaseun Ogunro,2,2,2
larsen,2,2,2
forest,2,3,3
arienzo,2,2,2
GCP,2,2,2
FACE,2,3,3
pCO2,2,2,2
2012D,2,3,3
doi:10.18739/A2ZC6X,2,2,2
kelsey,2,4,4
beaufort lagoon,2,2,2
doi:10.3334/CDIAC/FFE.MONTHLYISOMASS.2016,2,2,2
lynn montgomery,2,2,2
core,2,2,2
usa,2,2,2
Konrad Steffen,2,2,2
1948 to 2017,2,5,3
schild,2,2,2
doi:10.18739/A26P8Z,2,5,4
carbon cycle,2,5,4
Toolik,2,2,2
Carin J. Ashjian,2,2,2
Austin S. Post,2,2,2
TRENDS-CO2,2,2,2
coverage,2,3,3
morocco,2,2,2
2005B,2,5,4
coastal,2,2,2
katey walter anthony,2,2,2
mortality,2,2,2
metagenom,2,2,2
Global and Hemispheric Temperature Anomalies,2,2,2
2012A,2,4,4
sue moore,2,2,2
1841 to 2016,2,2,2
lter,2,2,2
9318535,2,2,2
William Cable,2,4,4
walter anthony,2,2,2
teacher,2,2,2
2012,2,3,2
https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20036/8,2,5,5
2006 to 2009,2,2,2
schimel,2,2,2
herzfeld,2,2,2
2001 to 2016,2,2,2
minirhizotron,2,2,2
doi:10.5065/D600006M,2,4,3
Network of Permafrost Observatories,2,8,5
VIPER,2,3,2
1951 to 2017,2,3,3
time,2,2,2
net radiation,2,2,2
Acoustic,2,2,2
code,2,2,2
macrofauna,2,2,2
mass balance,2,2,2
2011L,2,2,2
Larsen,2,3,3
bering,2,2,2
Sayres,2,7,7
1978 to 2017,2,2,2
ice thickness,2,2,2
people,2,2,2
2016A,2,2,2
bowhead whales,2,2,2
narwhal,2,3,3
2015B,2,2,2
